ORDERNUMBER;QUANTITYORDERED;PRICEEACH;ORDERLINENUMBER;SALES;ORDERDATE;STATUS;QTR_ID;MONTH_ID;YEAR_ID;PRODUCTLINE;MSRP;PRODUCTCODE;CUSTOMERNAME;PHONE;ADDRESSLINE1;ADDRESSLINE2;CITY;STATE;POSTALCODE;COUNTRY;TERRITORY;CONTACTLASTNAME;CONTACTFIRSTNAME;DEALSIZE;REVENUE;MONTH
10107;30,0;95,7;2,0;2871,0;2003-02-24;Shipped;1,0;2,0;2003,0;Motorcycles;95,0;S10_1678;Land of Toys Inc.;2125557818;897 Long Airport Avenue;;NYC;NY;10022;USA;;Yu;Kwai;Small;2871,0;2
10121;34,0;81,35;5,0;2765,9;2003-05-07;Shipped;2,0;5,0;2003,0;Motorcycles;95,0;S10_1678;Reims Collectables;26.47.1555;59 rue de l'Abbaye;;Reims;;51100;France;EMEA;Henriot;Paul;Small;2765,8999999999996;5
10134;41,0;94,74;2,0;3884,34;2003-07-01;Shipped;3,0;7,0;2003,0;Motorcycles;95,0;S10_1678;Lyon Souveniers;+33 1 46 62 7555;27 rue du Colonel Pierre Avia;;Paris;;75508;France;EMEA;Da Cunha;Daniel;Medium;3884,3399999999997;7
10145;45,0;83,26;6,0;3746,7;2003-08-25;Shipped;3,0;8,0;2003,0;Motorcycles;95,0;S10_1678;Toys4GrownUps.com;6265557265;78934 Hillside Dr.;;Pasadena;CA;90003;USA;;Young;Julie;Medium;3746,7000000000003;8
10159;49,0;100,0;14,0;5205,27;2003-10-10;Shipped;4,0;10,0;2003,0;Motorcycles;95,0;S10_1678;Corporate Gift Ideas Co.;6505551386;7734 Strong St.;;San Francisco;CA;;USA;;Brown;Julie;Medium;4900,0;10
10168;36,0;96,66;1,0;3479,76;2003-10-28;Shipped;4,0;10,0;2003,0;Motorcycles;95,0;S10_1678;Technics Stores Inc.;6505556809;9408 Furth Circle;;Burlingame;CA;94217;USA;;Hirano;Juri;Medium;3479,7599999999998;10
10201;22,0;98,57;2,0;2168,54;2003-12-01;Shipped;4,0;12,0;2003,0;Motorcycles;95,0;S10_1678;Mini Wheels Co.;6505555787;5557 North Pendale Street;;San Francisco;CA;;USA;;Murphy;Julie;Small;2168,54;12
10237;23,0;100,0;7,0;2333,12;2004-04-05;Shipped;2,0;4,0;2004,0;Motorcycles;95,0;S10_1678;Vitachrome Inc.;2125551500;2678 Kingston Rd.;Suite 101;NYC;NY;10022;USA;;Frick;Michael;Small;2300,0;4
10251;28,0;100,0;2,0;3188,64;2004-05-18;Shipped;2,0;5,0;2004,0;Motorcycles;95,0;S10_1678;Tekni Collectables Inc.;2015559350;7476 Moss Rd.;;Newark;NJ;94019;USA;;Brown;William;Medium;2800,0;5
10263;34,0;100,0;2,0;3676,76;2004-06-28;Shipped;2,0;6,0;2004,0;Motorcycles;95,0;S10_1678;Gift Depot Inc.;2035552570;25593 South Bay Ln.;;Bridgewater;CT;97562;USA;;King;Julie;Medium;3400,0;6
